Martinique,Martinique,,,
Montserrat,Montserrat,,,
Nicaragua,Nicaragua,,,
Panama,Panama,,,
Puerto Rico,Puerto Rico,,,
Dominican Republic,Dominican Republic,,,
Saint Kitts and Nevis,Saint Kitts and Nevis,,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,
Saint Lucia,Saint Lucia,,,
Trinidad and Tobago,Trinidad and Tobago,,,
Albania,Albania,,,
Germany,Germany,,,
Andorra,Andorra,,,
Austria,Austria,,,
Belarus,Belarus,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,,,
Bulgaria,Bulgaria,,,
Belgium,Belgium,,,
Czech Republic,Czech Republic,,,
Cyprus,Cyprus,,,
Croatia,Croatia,,,
Denmark,Denmark,,,
Vatican City,Vatican City,,,
Slovakia,Slovakia,,,
Slovenia,Slovenia,,,
Estonia,Estonia,,,
Finland,Finland,,,
France,France,,,
Gibraltar,Gibraltar,,,
Greece,Greece,,,
Guernsey,Guernsey,,,
Hungary,Hungary,,,
Ireland,Ireland,,,
Iceland,Iceland,,,
Italy,Italy,,,
Jersey,Jersey,,,
Latvia,Latvia,,,
Liechtenstein,Liechtenstein,,,
Lithuania,Lithuania,,,
Luxembourg,Luxembourg,,,
Macedonia,Macedonia,,,
Malta,Malta,,,
Moldova,Moldova,,,
Montenegro,Montenegro,,,
Monaco,Monaco,,,
Norway,Norway,,,
Netherlands,Netherlands,,,
Poland,Poland,,,
Portugal,Portugal,,,
United Kingdom,United Kingdom,,,
Romania,Romania,,,
San Marino,San Marino,,,
Serbia,Serbia,,,
Sweden,Sweden,,,
Switzerland,Switzerland,,,
Svalbard and Jan Mayen,Svalbard and Jan Mayen,,,
Ukraine,Ukraine,,,
Saudi Arabia,Saudi Arabia,,,
Bahrain,Bahrain,,,
United Arab Emirates,United Arab Emirates,,,
Iraq,Iraq,,,
Israel,Israel,,,
Jordan,Jordan,,,
Kuwait,Kuwait,,,
Lebanon,Lebanon,,,
Oman,Oman,,,
Qatar,Qatar,,,
Turkey,Turkey,,,
Yemen,Yemen,,,
Bermuda,Bermuda,,,
Canada,Canada,,,
United States,United States,,,
Greenland,Greenland,,,
Mexico,Mexico,,,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,,,
Australia,Australia,,,
Fiji,Fiji,,,
Guam,Guam,,,
Cook Islands,Cook Islands,,,
Marshall Islands,Marshall Islands,,,
Salomon Islands,Salomon Islands,,,
Kiribati,Kiribati,,,
Micronesia,Micronesia,,,
Nauru,Nauru,,,
Niue,Niue,,,
New Caledonia,New Caledonia,,,
New Zealand,New Zealand,,,
Palau,Palau,,,
Papua New Guinea,Papua New Guinea,,,
French Polynesia,French Polynesia,,,
Western Samoa,Western Samoa,,,
American Samoa,American Samoa,,,
Tonga,Tonga,,,
Tuvalu,Tuvalu,,,
Vanuatu,Vanuatu,,,
Wallis and Futuna,Wallis and Futuna,,,
Brunei,Brunei,,,
Cambodia,Cambodia,,,
Philippines,Philippines,,,
Hong Kong,Hong Kong,,,
Indonesia,Indonesia,,,
Laos,Laos,,,
Macau,Macau,,,
Malaysia,Malaysia,,,
Singapore,Singapore,,,
Thailand,Thailand,,,
Taiwan,Taiwan,,,
Vietnam,Vietnam,,,
Argentina,Argentina,,,
Bolivia,Bolivia,,,
Brazil,Brazil,,,
Chile,Chile,,,
Colombia,Colombia,,,
Ecuador,Ecuador,,,
