Item ID,Item Description,Qty on Hand,Avg Cost,Item Value
01SSC0018,"Dell, Inc 1 Year Dell SonicWAL",,340.38,
AB-FRCEFW11B,FineReader 11 Corporate,,234.14,
AB-FRCEUW11B,FineReader 11 Corporate - Upgr,,167.11,
AB-FRLBCRDFW2XB,Business Card Reader 2,,24.41,
AB-FRLEXFW9XB,FINEREADER 9.0 EXPRESS,,32.41,
AB-FRLMACF8XB,FineReader Express 8 for Mac,,68.13,
AB-FRPFW11B,FineReader 11 Professional,,132.23,
AB-FRPUW11B,FineReader 11 Professional Upg,,80.44,
AB-LVP8LFWX5B,ABBYY Lingvo x5,,49.18,
AB-PDFTFW3XB,PDF Transformer 3,,50.00,
AC-A1DNLPENS13,BCKUP ADV 11.5 ACT DIRE,,,
AC-A1ENLPENS13,BCKUP ADV 11.5 EXCH,,,
AC-A1WNLPENS11,BCKUP ADV 11.5 WIN SVR,,"1,325.58",
AC-A1WNLPENS12,BCKUP ADV WIN SVR W/AAP ESD,,"1,219.54",
AC-A1WNLPENS13,BCKUP ADV 11.5 WIN SVR,,,
AC-A1WXRPZZS11,BACKUP ADV WIN SVR 11.5 RNWL,,243.32,
AC-A2DNLPENS11,BCKUP ADV 11.5 ACT DIRECT ADD,,294.00,
AC-A2ENLPENS11,BCKUP ADV 11.5 EXCHANGE ADD ON,,294.00,
AC-B1WNLPENS11,BCKUP 11.5 FOR WIN SVR W/AAP,,842.10,
AC-B1WNLPENS12,BCKUP FOR WIN SVR V11.5 IN AAP,,774.73,
AC-CLIAJQLOS11,Backup to Cloud Initial Seedin,,83.45,
AC-CLVAJDLOS11,BCKUP CLD STRG VLM 2 TB STRG,,"2,696.58",
AC-G1ENLPENS11,ACRONIS BU FOR WIN SVR ESSNT,,420.63,
AC-G1ENLPENS13,BACKUP V11.5 FOR WIN SVR ESSNT,,,
AC-G1EXRPZZS12,BACKUP 11.5 WIN SVR  ESSL RNWL,,62.09,
AC-PCANLPENS11,BACKUP ADVN FOR PC V11.5 AAP,,89.06,
AC-PCANUPENS11,ACRONIS BACKUP ADV PC 11.5 VU,,58.94,
AC-PCWNLPENS11,BACKUP F/PC 11.5,,65.06,
AC-SDSDLPENS11,ACRONIS REC V4.0 SVR LIC 1SVR,,,
AC-SSPELPENS11,ACRONIS SNAPDEPLOY V5 FOR SVR,,101.89,
AC-TI-18-DV-RT-W-EN,Acronis True Image 2015 1 PC,,24.00,
AC-TICNLPENS11,BACKUP & RECOVERY 11.5 ADV SBS,,361.78,
AC-TICXRPENS11,BACKUP & RECOVERY 11.5 ADV SBS,,66.31,
AC-TIDNLPENS11,BACKUP & RCVRY 11.5 ADV WKSTN,,72.95,
AC-TIINLPENS11,BACKUP & REC 11.5 ADV SVR WIN,,"1,014.28",
AC-TIIXRPENS11,BACKUP & RECOVERY 11.5 ADV SVR,,185.89,
AC-TISNLPENS11,BACKUP RECOVERY 11.5 WIN,,632.95,
AC-TISNLPENS12,BACKUP REC 11.5 WIN SVR W/AAP,,,
AC-TISNLPENS13,BACKUP REC 11.5 WIN SVR W/AAP,,,
AC-TIU1-18-MB-RT-WM-,ACRONIS TRUE IMAGE 2015 UNL,,65.00,
AC-TIWNLPENS11,BACKUP & RECOVERY 11.5 WKSTN,,55.26,
AC-TPEMLPENS11,BACKUP & RECOVERY ADV SVR 11,,"1,242.45",
AC-TPSNLPENS11,BACKUP & RECOVERY 11.5 SVR,,840.28,
AC-TUDNLPENS11,BACKUP RECOVERY ADV WS URPD,,99.19,
AC-V1HNLPENS11,BCKUP ADV HYPV 11.5 W/AAP,,"1,683.37",
AC-V2PNLPENS11,BU FOR VMWARE AAP ESD,,441.37,
AC-V2PXRPZZS11,ACRONIS BCKUP VMWARE RNW AAP,,79.59,
AC-VMPHLPENS11,VMPROTECT 8 W/AAP 1-9U,,434.28,
AC-VMPHLSENS11,VMPROTECT 8 W/AAS 1-9U,,424.28,
AC-VMPILPENS11,VMPROTECT 9 LIC W/AAP 1-9U,,441.37,
AD- 65170539AE00A00,PHOTOSHOP CS6 MEDIA KIT ACAD,,15.19,
AD-17530379,PAGEMAKER 7.0.2 MAC,,,
AD-19300440,CS3.3 DESIGN STD UPG 3.0 MAC,,,
AD-19700537,CS3.3 WEB PREM MAC UPG 3.0,,,
ad-21249868,,,,
AD-22020032,ACROBAT 6 PRO UPG,,,
AD-27530379,PAGEMAKER 7.0.2,,472.51,
AD-28040306,CS PREM 2.0 UPG,,,
AD-38000591,FREEHAND MX 11 PC UPG,,149.63,
AD-38000593,FREEHAND MX 11 WIN,,120.00,
AD-38038983,ROBOHELP 6 SERVER UPG,,,
AD-38040165,VISUAL COMMUNICATOR 3,,375.73,
AD-38040167,VISUAL COMMUNICATOR 3 UPG,,137.11,
AD-61101750,CREATIVE CLOUD 1YR PKC,,485.00,
AD-61101754,ADOBE ILLUSTRATOR CC 1YR,,195.00,
AD-61101760,ADOBE PHOTOSHOP CC 1YR,,195.00,
AD-61101764,CREATIVE CLOUD 1YR ACAD,,160.00,
AD-62000002,ACROBAT 3D UPSELL APRO 7,,,
AD-65008975,CS4 WEB STANDARD UPG WIN,,,
AD-65015600,CS4 PHOTOSHOP EXT UPG WIN,,,
AD-65018020,CS4 WEB PREMIUM WIN,,"1,609.73",
AD-65018020S,CS4 WEB PREMIUM WIN,,,
AD-65018692,CS4 FLASH PRO UPG MAC,,,
AD-65020729,CS4 PREMIERE PRO MAC FULL,,,
